"measuredItemCPC","measuredItemCPC_description","itemGroup","N"
"0111","Wheat","cereals",11784
"0112","Maize (corn)","cereals",13583
"0113","Rice","cereals",10134
"0115","Barley","cereals",8845
"0118","Millet","cereals",8293
"01192","Buckwheat","cereals",3285
"01199.90","Other cereals n.e.","cereals",5582
"0114","Sorghum","cereals",9042
"0116","Rye","cereals",5170
"0117","Oats","cereals",7199
"01191","Triticale","cereals",2282
"01194","Quinoa","cereals",336
"01195","Canary seed","cereals",2650
"01199.02","Mixed grain","cereals",2168
"01193","Fonio","cereals",686
