geographicAreaM49,Geographic Area,measuredItemCPC,Item,measuredElement,Element,timePointYears,New Value
840,United States of America,0113,Rice,5113,Opening Stocks [t],1990,1446186
840,United States of America,0113,Rice,5113,Opening Stocks [t],1991,1369086
840,United States of America,0113,Rice,5113,Opening Stocks [t],1992,1242086
840,United States of America,0113,Rice,5113,Opening Stocks [t],1993,1786386
840,United States of America,0113,Rice,5113,Opening Stocks [t],1994,1169486
840,United States of America,0113,Rice,5113,Opening Stocks [t],1995,1419640
840,United States of America,0113,Rice,5113,Opening Stocks [t],1996,1136344
840,United States of America,0113,Rice,5113,Opening Stocks [t],1997,1236144
840,United States of America,0113,Rice,5113,Opening Stocks [t],1998,1266562
840,United States of America,0113,Rice,5113,Opening Stocks [t],1999,1001880
840,United States of America,0113,Rice,5113,Opening Stocks [t],2000,1247040
840,United States of America,0113,Rice,5113,Opening Stocks [t],2001,1292440
840,United States of America,0113,Rice,5113,Opening Stocks [t],2002,1768440
840,United States of America,0113,Rice,5113,Opening Stocks [t],2003,1214540
840,United States of America,0113,Rice,5113,Opening Stocks [t],2004,1074640
840,United States of America,0113,Rice,5113,Opening Stocks [t],2005,1710840
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1990,803100
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1991,744200
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1992,728500
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1993,644300
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1994,678700
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1995,667600
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1996,718400
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1997,675200
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1998,598500
756,Switzerland,0111,Wheat,5113,Opening Stocks [t],1999,578600
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1990,78500
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1991,74000
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1992,69700
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1993,62600
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1994,51600
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1995,55300
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1996,53800
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1997,46100
756,Switzerland,0112,Maize (corn),5113,Opening Stocks [t],1998,51300
203,Czech Republic,0111,Wheat,5113,Opening Stocks [t],1990,1219700
203,Czech Republic,0111,Wheat,5113,Opening Stocks [t],1991,1219700
203,Czech Republic,0115,Barley,5113,Opening Stocks [t],1990,297800
203,Czech Republic,0115,Barley,5113,Opening Stocks [t],1991,297800
203,Czech Republic,0116,Rye,5113,Opening Stocks [t],1990,220300
203,Czech Republic,0116,Rye,5113,Opening Stocks [t],1991,220300
203,Czech Republic,0116,Rye,5113,Opening Stocks [t],1992,220300
203,Czech Republic,0117,Oats,5113,Opening Stocks [t],1990,30000
203,Czech Republic,0117,Oats,5113,Opening Stocks [t],1991,30000
348,Hungary,01191,Triticale,5113,Opening Stocks [t],1990,10000
348,Hungary,01191,Triticale,5113,Opening Stocks [t],1991,10000
348,Hungary,01191,Triticale,5113,Opening Stocks [t],1992,10000
348,Hungary,01199.90,Other cereals n.e.,5113,Opening Stocks [t],1990,1000
348,Hungary,01199.90,Other cereals n.e.,5113,Opening Stocks [t],1991,1000
